id,year,level,score_exam,score_lt
00064230,2023,1,17,51.666666666666664
00105168,2023,4,43,69.16666666666667
00132706,2023,1.5,26,62.5
00134570,2023,master,NA,81.66666666666667
00523291,2023,1.5,25,44.166666666666664
00554200,2023,master,NA,89.16666666666666
00565007,2023,1.5,NA,58.333333333333336
00699056,2023,2,22,45.833333333333336
00739988,2023,3,37,60.83333333333333
00769366,2023,2,30,50
00772761,2023,master,NA,81.66666666666666
00776785,2023,2,33,51.66666666666667
00781708,2023,master,NA,69.16666666666667
00788510,2023,2,31,47.5
00797526,2023,master,NA,80.83333333333333
00797580,2023,2,21,50
00801949,2023,1,NA,45.833333333333336
00801957,2023,1,NA,49.16666666666667
00801960,2023,2,30,67.5
00802251,2023,1.5,17,55
00802277,2023,1,15,48.33333333333333
00802302,2023,3,39,70
00802377,2023,master,NA,80
00802602,2023,1.5,24,58.33333333333333
00802708,2023,3,38,62.5
00802767,2023,1.5,19,53.33333333333333
00802777,2023,1,14,48.33333333333333
00802845,2023,3,30,55
00803587,2023,1.5,11,58.33333333333333
00803588,2023,2,32,53.33333333333333
00803964,2023,3,39,60
00804546,2023,1.5,20,52.5
00804777,2023,4,44,62.5
00805107,2023,2,30,49.16666666666667
00814709,2023,2,32,60.07751937984496
00814729,2023,2,25,52.5
00814748,2023,2,30,59.16666666666667
00815014,2023,3,36,45.833333333333336
00815078,2023,1.5,21,48.33333333333333
00815083,2023,2,24,58.33333333333333
00815510,2023,1.5,19,49.16666666666666
00815545,2023,1.5,NA,52.5
00815604,2023,1,11,41.66666666666667
00815752,2023,2,NA,58.333333333333336
00816351,2023,1.5,24,49.16666666666666
00816375,2023,1.5,24,53.333333333333336
00759422,2023,1.5,24,60
00759888,2023,4,43,75.83333333333333
00768963,2023,master,NA,96.66666666666669
00769598,2023,1.5,NA,51.96078431372549
00775446,2023,2,NA,64.16666666666667
00802289,2023,1.5,17,45.833333333333336
00802298,2023,1.5,8,42.5
00803146,2023,1.5,25,55.83333333333333
00803399,2023,1.5,15,47.5
00805000,2023,2,22,54.16666666666667
00811511,2023,1.5,19,52.5
00814122,2023,3,33,66.66666666666666
00815014,2023,2,36,55.83333333333333
00815014,2023,3,36,51.666666666666664
00815549,2023,4,40,65.83333333333334
00888795,2023,2,NA,52.5
