id,placement_score
00712312,37
00804546,20
00814387,NA
00814785,21
00675444,NA
00814122,33
00815850,27
00760174,23
00759888,43
00816375,24
00802780,39
00803961,NA
00816351,24
00815296,14
00804548,NA
00803587,11
00523291,25
00811511,19
00803588,32
00815685,16
00776631,39
00773378,39
00815533,NA
00804977,28
00321042,39
00815936,NA
00273868,NA
00565007,NA
00802375,28
00815510,19
00804978,NA
00815854,NA
00802581,NA
00739988,37
00776785,33
00815536,41
00815062,39
00771852,30
00815655,23
00769152,36
00801950,35
00766535,29
00755252,43
00064230,17
00423848,44
00803146,25
00769366,30
00802762,NA
00802845,30
00784899,35
00815857,36
00803964,39
00803150,32
00802381,22
00804280,16
00698431,42
00814662,40
00815404,25
00759422,24
00802846,42
00816473,NA
00802702,34
00815539,NA
00804645,22
00787806,25
00741411,37
00132706,26
00814530,38
00816170,22
00803453,39
00802588,NA
00803967,25
00657341,44
00804777,44
00814583,39
00802251,17
00802767,19
00816302,NA
00815631,NA
00814748,30
00815795,27
00802708,38
00741039,NA
00786144,40
00755973,27
00798251,26
00661214,38
00788652,34
00815542,22
00804075,17
00802711,42
00802849,26
00815725,32
00815752,NA
00802456,12
00815034,33
00816392,28
00802261,14
00815078,21
00815721,13
00798449,18
00805262,24
00802458,37
00815670,38
00803165,30
00743498,17
00805107,30
00797185,NA
00773851,32
00815545,NA
00805263,36
00814729,25
00815096,30
00802272,28
00802273,23
00730792,NA
00802274,15
00699056,22
00784732,NA
00801971,23
00797580,21
00802277,15
00815547,24
00803399,15
00814708,18
00105168,43
00815182,34
00769261,43
00814537,NA
00815553,31
00801957,NA
00775446,NA
00768671,29
00802286,21
00816260,20
00802602,24
00815759,42
00815604,11
00816204,24
00802917,22
00815083,24
00811594,25
00802289,17
00801959,NA
00800025,NA
00815878,41
00802777,14
00816356,15
00769598,NA
00815014,36
00815548,30
00767725,36
00814709,32
00815549,40
00802778,13
00801960,30
00815555,36
00563737,38
00802923,36
00816261,38
00814774,34
00805000,22
00802298,8
00816175,NA
00802299,39
00802611,10
00788510,31
00802302,39
00738321,NA
00798417,NA
00662496,NA
00814802,NA
00797769,NA
00782931,NA
00815678,NA
00697301,NA
00802219,NA
00721142,NA
00050263,NA
00788787,NA
00814765,NA
00815796,NA
00802269,NA
00713679,NA
00815239,NA
00804997,NA
00815192,NA
00742038,NA
00737922,NA
00797658,NA
00768480,NA
00786930,NA
00311875,NA
00802377,NA
00805287,NA
00509329,NA
00796832,NA
00797768,NA
00085461,NA
00717992,NA
00798254,NA
00751718,NA
00134570,NA
00768963,NA
00797526,NA
00716481,NA
00760421,NA
00785403,NA
00784971,NA
00573579,NA
00781708,NA
00780801,NA
00542276,NA
00784907,NA
00765400,NA
00798696,NA
00756221,NA
00759138,NA
00554200,NA
00756632,NA
00784994,NA
00772761,NA
00771712,NA
00780404,NA
00694295,NA
00788524,NA
00802586,NA
